customer_id,region,segment,customer_tier
1,East,SMB,Gold
2,West,SMB,Gold
3,North,SMB,Silver
4,East,SMB,Gold
5,East,SMB,Gold
6,West,Enterprise,Silver
7,North,SMB,Silver
8,North,SMB,Gold
9,East,Enterprise,Gold
10,South,Enterprise,Gold
11,East,Enterprise,Gold
12,East,Enterprise,Silver
13,East,Enterprise,Silver
14,East,SMB,Silver
15,West,SMB,Gold
16,North,SMB,Silver
17,West,SMB,Platinum
18,West,SMB,Platinum
19,West,SMB,Gold
20,East,SMB,Gold
21,South,SMB,Silver
22,North,SMB,Gold
23,South,Enterprise,Gold
24,West,SMB,Gold
25,West,Enterprise,Silver
26,South,SMB,Gold
27,South,Enterprise,Gold
28,South,Enterprise,Silver
29,West,SMB,Gold
30,West,SMB,Platinum
31,North,SMB,Gold
32,North,Enterprise,Platinum
33,West,Enterprise,Silver
34,South,Enterprise,Gold
35,South,SMB,Silver
36,North,SMB,Gold
37,West,Enterprise,Silver
38,North,SMB,Platinum
39,North,SMB,Platinum
40,East,SMB,Platinum
41,East,Enterprise,Gold
42,East,SMB,Platinum
43,South,SMB,Gold
44,West,SMB,Gold
45,West,Enterprise,Gold
46,West,SMB,Gold
47,West,SMB,Platinum
48,East,SMB,Silver
49,South,Enterprise,Gold
50,South,Enterprise,Silver
51,East,Enterprise,Gold
52,South,SMB,Silver
53,East,Enterprise,Gold
54,West,SMB,Silver
55,East,SMB,Platinum
56,West,SMB,Silver
57,West,SMB,Silver
58,North,Enterprise,Platinum
59,East,SMB,Gold
60,North,SMB,Silver
61,East,SMB,Gold
62,East,SMB,Platinum
63,North,SMB,Gold
64,North,SMB,Platinum
65,East,SMB,Silver
66,South,SMB,Platinum
67,West,SMB,Platinum
68,North,Enterprise,Gold
69,West,SMB,Gold
70,South,Enterprise,Silver
71,South,Enterprise,Platinum
72,South,Enterprise,Platinum
73,North,SMB,Gold
74,South,SMB,Silver
75,North,Enterprise,Gold
76,South,SMB,Gold
77,West,SMB,Gold
78,West,SMB,Gold
79,East,SMB,Gold
80,West,Enterprise,Gold
81,East,SMB,Silver
82,West,SMB,Silver
83,North,SMB,Silver
84,West,SMB,Gold
85,East,SMB,Gold
86,East,SMB,Platinum
87,South,Enterprise,Silver
88,North,SMB,Gold
89,West,Enterprise,Silver
90,South,SMB,Gold
91,West,SMB,Silver
92,West,SMB,Gold
93,South,SMB,Gold
94,South,Enterprise,Gold
95,South,Enterprise,Silver
96,South,SMB,Silver
97,South,SMB,Silver
98,West,Enterprise,Platinum
99,South,SMB,Silver
100,North,SMB,Gold
101,East,Enterprise,Gold
102,South,SMB,Platinum
103,South,Enterprise,Platinum
104,West,SMB,Platinum
105,South,Enterprise,Silver
106,South,SMB,Gold
107,South,SMB,Platinum
108,West,SMB,Gold
109,South,SMB,Gold
110,East,SMB,Platinum
111,West,SMB,Platinum
112,East,SMB,Platinum
113,West,Enterprise,Gold
114,South,SMB,Platinum
115,East,SMB,Gold
116,West,SMB,Platinum
117,North,SMB,Platinum
118,South,SMB,Gold
119,West,SMB,Platinum
120,North,Enterprise,Platinum
121,West,SMB,Gold
122,North,SMB,Gold
123,South,Enterprise,Silver
124,East,Enterprise,Platinum
125,North,SMB,Silver
126,West,Enterprise,Silver
127,South,SMB,Silver
128,North,Enterprise,Gold
129,West,SMB,Silver
