po_id,vendor_id,created_date,expected_delivery,actual_delivery,status,total_amount
1,137,2024-10-11 00:00:00,2024-10-17 00:00:00,2024-10-17 00:00:00,Closed,360.18
2,51,2025-01-10 00:00:00,2025-01-13 00:00:00,2025-01-13 00:00:00,Closed,798.8
3,86,2024-08-27 00:00:00,2024-09-01 00:00:00,2024-09-01 00:00:00,Closed,693.06
4,192,2025-04-09 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,Closed,2812.38
5,122,2024-09-30 00:00:00,2024-10-04 00:00:00,2024-10-04 00:00:00,Closed,1309.75
6,162,2025-01-04 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,Closed,3886.85
7,64,2025-04-04 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,Closed,2695.65
8,51,2025-02-17 00:00:00,2025-02-18 00:00:00,2025-02-18 00:00:00,Closed,3994
9,81,2025-05-13 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,Closed,796.28
10,78,2024-11-17 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,Closed,2948.35
11,22,2025-01-29 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,Closed,4299.85
12,20,2025-05-18 00:00:00,2025-05-22 00:00:00,2025-05-22 00:00:00,Closed,3125.12
13,112,2025-03-05 00:00:00,2025-03-08 00:00:00,2025-03-08 00:00:00,Closed,1272.98
14,77,2025-04-26 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,Closed,430.86
15,14,2024-10-02 00:00:00,2024-10-05 00:00:00,2024-10-05 00:00:00,Closed,349.5
16,34,2024-07-06 00:00:00,2024-07-09 00:00:00,2024-07-09 00:00:00,Closed,685.74
17,143,2024-11-14 00:00:00,2024-11-18 00:00:00,2024-11-18 00:00:00,Closed,382.73
18,114,2024-12-21 00:00:00,2024-12-27 00:00:00,2024-12-27 00:00:00,Closed,1900.02
19,30,2025-04-23 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,Closed,1894.85
20,104,2025-05-28 00:00:00,2025-06-02 00:00:00,2025-06-02 00:00:00,Closed,2744.88
21,77,2024-11-18 00:00:00,2024-11-26 00:00:00,2024-11-26 00:00:00,Closed,143.62
22,118,2025-05-02 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,Closed,1605.6
23,81,2025-06-13 00:00:00,2025-06-14 00:00:00,2025-06-14 00:00:00,Closed,2067.12
24,64,2025-04-15 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,Closed,2695.65
25,28,2025-01-08 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,Closed,1599.65
26,84,2025-04-02 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,Closed,3935.68
27,177,2024-08-23 00:00:00,2024-08-27 00:00:00,2024-08-27 00:00:00,Closed,3475.48
28,122,2024-09-25 00:00:00,2024-09-28 00:00:00,2024-09-28 00:00:00,Closed,523.9
29,105,2024-08-19 00:00:00,2024-08-27 00:00:00,2024-09-05 00:00:00,Late,960.98
30,81,2025-04-23 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,Closed,3445.2
31,50,2025-02-06 00:00:00,2025-02-10 00:00:00,2025-02-10 00:00:00,Closed,732.74
32,73,2025-03-26 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,Closed,679.72
33,116,2024-08-18 00:00:00,2024-08-24 00:00:00,2024-08-24 00:00:00,Closed,1003.58
34,108,2025-03-02 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,Closed,1850.52
35,112,2025-06-08 00:00:00,2025-06-15 00:00:00,2025-06-15 00:00:00,Closed,3182.45
36,52,2024-12-30 00:00:00,2025-01-04 00:00:00,2025-01-04 00:00:00,Closed,1555.06
37,111,2024-10-14 00:00:00,2024-10-18 00:00:00,2024-10-18 00:00:00,Closed,2004.15
38,191,2024-07-13 00:00:00,2024-07-16 00:00:00,2024-07-16 00:00:00,Closed,473.27
39,3,2025-02-06 00:00:00,2025-02-10 00:00:00,2025-02-10 00:00:00,Closed,565.63
40,193,2025-05-29 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,Closed,4273.45
41,105,2024-07-21 00:00:00,2024-07-29 00:00:00,2024-07-29 00:00:00,Closed,437.52
42,193,2025-02-03 00:00:00,2025-02-05 00:00:00,2025-02-05 00:00:00,Closed,1913.55
43,125,2024-10-17 00:00:00,2024-10-22 00:00:00,2024-10-29 00:00:00,Late,1542.08
44,106,2024-11-02 00:00:00,2024-11-06 00:00:00,2024-11-06 00:00:00,Closed,4381.9
45,104,2025-01-20 00:00:00,2025-01-22 00:00:00,2025-01-22 00:00:00,Closed,378.9
46,121,2024-11-22 00:00:00,2024-11-27 00:00:00,2024-11-27 00:00:00,Closed,693.81
47,106,2025-04-01 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,Closed,2633.25
48,95,2024-09-19 00:00:00,2024-09-25 00:00:00,2024-09-25 00:00:00,Closed,774.41
49,191,2025-03-03 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,Closed,1245.6
50,44,2025-04-10 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,Closed,1832
51,9,2024-09-17 00:00:00,2024-09-22 00:00:00,2024-09-22 00:00:00,Closed,1394.32
52,72,2024-08-06 00:00:00,2024-08-12 00:00:00,2024-08-12 00:00:00,Closed,435.05
53,118,2025-01-04 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,Closed,1130.4
54,18,2024-09-24 00:00:00,2024-09-30 00:00:00,2024-09-30 00:00:00,Closed,993.81
55,108,2024-08-15 00:00:00,2024-08-19 00:00:00,2024-08-19 00:00:00,Closed,2480.04
56,41,2024-12-23 00:00:00,2024-12-26 00:00:00,2024-12-26 00:00:00,Closed,1347.84
57,174,2025-04-16 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,Closed,341.08
58,174,2025-06-26 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,Closed,341.08
59,39,2024-08-02 00:00:00,2024-08-07 00:00:00,2024-08-07 00:00:00,Closed,822.08
60,195,2024-09-21 00:00:00,2024-09-26 00:00:00,2024-09-26 00:00:00,Closed,824.79
61,40,2024-10-25 00:00:00,2024-11-03 00:00:00,2024-11-03 00:00:00,Closed,709.41
62,142,2024-12-25 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,Closed,1499.1
63,191,2025-01-25 00:00:00,2025-02-02 00:00:00,2025-02-02 00:00:00,Closed,2076
64,197,2024-10-02 00:00:00,2024-10-05 00:00:00,2024-10-05 00:00:00,Closed,3861
65,105,2024-07-02 00:00:00,2024-07-08 00:00:00,2024-07-08 00:00:00,Closed,546.9
66,190,2024-11-08 00:00:00,2024-11-11 00:00:00,2024-11-11 00:00:00,Closed,4928.4
67,81,2025-03-25 00:00:00,2025-03-28 00:00:00,2025-03-28 00:00:00,Closed,3445.2
68,34,2024-11-14 00:00:00,2024-11-19 00:00:00,2024-11-19 00:00:00,Closed,2742.96
69,54,2025-04-12 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,Closed,372.92
70,164,2025-02-23 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,Closed,3969.3
71,126,2024-12-03 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,Closed,1543.85
72,51,2024-08-17 00:00:00,2024-08-23 00:00:00,2024-08-23 00:00:00,Closed,916.48
73,193,2025-02-10 00:00:00,2025-02-16 00:00:00,2025-02-16 00:00:00,Closed,1913.55
74,5,2025-04-16 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,Closed,4312.35
75,97,2025-01-05 00:00:00,2025-01-09 00:00:00,2025-01-09 00:00:00,Closed,312.61
76,56,2024-07-01 00:00:00,2024-07-04 00:00:00,2024-07-04 00:00:00,Closed,999.78
77,150,2024-11-06 00:00:00,2024-11-12 00:00:00,2024-11-12 00:00:00,Closed,611.05
