ticket_id,order_id,product_id,created_date,resolved_date,issue_type,resolution_time_hrs,escalated,satisfaction_rating,support_loss
1,65,157,2024-11-04 00:00:00,2024-11-04 18:49:50,Damage,18.83068551,FALSE,1,0
2,117,317,2025-06-13 00:00:00,2025-06-13 12:27:26,Damage,12.45732292,FALSE,5,0
3,123,483,2025-01-12 00:00:00,2025-01-12 18:26:17,Damage,18.43802166,FALSE,5,0
4,188,373,2024-11-18 00:00:00,2024-11-18 12:06:56,TechIssue,12.11564926,FALSE,4,0
5,206,255,2024-11-26 00:00:00,2024-11-26 11:23:16,Delay,11.38764755,TRUE,1,2963.875194
6,232,686,2025-03-21 00:00:00,2025-03-21 05:12:48,TechIssue,5.213249194,FALSE,1,0
7,250,773,2024-09-15 00:00:00,2024-09-15 02:17:10,TechIssue,2.286150664,FALSE,4,0
8,298,375,2025-04-22 00:00:00,2025-04-22 12:21:41,Damage,12.36144467,FALSE,1,0
9,370,229,2024-09-28 00:00:00,2024-09-28 16:10:56,Refund,16.18213375,FALSE,4,0
10,420,127,2024-07-12 00:00:00,2024-07-12 21:48:23,Damage,21.80632546,FALSE,3,0
11,421,50,2025-05-24 00:00:00,2025-05-24 11:44:13,Damage,11.73696091,FALSE,3,0
12,465,685,2025-03-01 00:00:00,2025-03-01 02:03:21,Refund,2.055829619,FALSE,3,0
13,496,607,2024-11-02 00:00:00,2024-11-02 15:18:12,Delay,15.30319492,FALSE,3,0
14,525,890,2025-05-14 00:00:00,2025-05-14 23:31:08,Refund,23.51883249,TRUE,3,3422.448393
15,534,574,2024-12-19 00:00:00,2024-12-19 13:59:49,Delay,13.99698746,FALSE,3,0
16,559,172,2024-10-29 00:00:00,2024-10-29 15:26:15,Delay,15.43736854,FALSE,3,0
17,570,197,2024-07-17 00:00:00,2024-07-17 07:02:41,TechIssue,7.044797761,FALSE,3,0
18,674,757,2024-08-27 00:00:00,2024-08-27 04:22:09,Damage,4.369277071,FALSE,1,0
19,692,125,2024-10-24 00:00:00,2024-10-24 15:23:21,Damage,15.38909854,FALSE,3,0
20,711,528,2024-09-29 00:00:00,2024-09-29 20:51:14,Refund,20.85379546,FALSE,2,0
21,712,798,2025-01-31 00:00:00,2025-01-31 06:13:52,TechIssue,6.231129132,FALSE,5,0
22,747,487,2024-08-14 00:00:00,2024-08-15 02:27:46,Damage,26.46279231,FALSE,3,0
23,754,370,2024-12-30 00:00:00,2024-12-30 04:24:03,Refund,4.400707434,FALSE,2,0
24,755,785,2025-03-29 00:00:00,2025-03-29 06:17:00,Refund,6.283196418,FALSE,1,0
25,757,531,2024-12-28 00:00:00,2024-12-28 03:55:53,Damage,3.931304103,FALSE,5,0
26,768,542,2024-08-04 00:00:00,2024-08-04 16:42:38,Delay,16.71050533,FALSE,1,0
27,772,571,2024-09-08 00:00:00,2024-09-10 14:15:59,Refund,62.26636023,TRUE,3,1972.352956
28,775,147,2025-02-10 00:00:00,2025-02-10 02:59:15,Delay,2.987598474,FALSE,2,0
29,810,22,2025-01-02 00:00:00,2025-01-02 14:42:06,Delay,14.70161484,FALSE,1,0
30,821,175,2024-11-11 00:00:00,2024-11-11 08:18:56,Damage,8.315677026,FALSE,2,0
31,832,153,2025-06-02 00:00:00,2025-06-02 20:06:04,Refund,20.10113471,TRUE,1,2067.279888
32,860,743,2025-01-21 00:00:00,2025-01-21 03:49:39,TechIssue,3.827548021,FALSE,5,0
33,866,49,2024-12-03 00:00:00,2024-12-03 22:28:05,TechIssue,22.46813616,TRUE,5,1821.283815
34,892,911,2025-04-28 00:00:00,2025-04-28 02:41:18,Refund,2.688379896,FALSE,3,0
35,907,521,2025-05-02 00:00:00,2025-05-02 22:38:14,TechIssue,22.63734178,FALSE,5,0
36,918,397,2024-12-28 00:00:00,2024-12-28 15:15:46,Delay,15.26266629,FALSE,1,0
37,926,906,2025-03-11 00:00:00,2025-03-11 05:51:33,Refund,5.859063337,FALSE,2,0
38,935,13,2025-04-27 00:00:00,2025-04-27 17:17:18,Damage,17.28841493,FALSE,2,0
39,940,880,2024-07-30 00:00:00,2024-07-30 21:02:41,Refund,21.04478404,FALSE,1,0
