order_id,customer_id,order_date,due_date,order_status,order_total,delivery_status,delay_reason_id,root_cause_id,category,description,severity_level,revenue_loss
4,12450,2024-12-22,2024-12-25,Cancelled,2738.6,Lost,2,2,Inventory,Stockout,High,2738.6
10,18395,2024-11-15,2024-11-16,Completed,12750.21,On-Time,2,2,Inventory,Stockout,High,12750.21
12,12609,2024-07-25,2024-07-26,Completed,1144.6,On-Time,2,2,Inventory,Stockout,High,1144.6
22,3177,2025-06-08,2025-06-12,Completed,4673.62,On-Time,2,2,Inventory,Stockout,High,4673.62
24,6013,2024-08-25,2024-08-27,Completed,4774.56,On-Time,2,2,Inventory,Stockout,High,4774.56
25,3209,2024-11-20,2024-11-24,Completed,956.95,On-Time,2,2,Inventory,Stockout,High,956.95
31,13738,2025-05-01,2025-05-02,Delayed,4876.33,Delayed,2,2,Inventory,Stockout,High,4876.33
34,17333,2024-12-26,2024-12-27,Completed,6187.28,On-Time,2,2,Inventory,Stockout,High,6187.28
38,17878,2024-09-05,2024-09-08,Completed,5022.07,On-Time,2,2,Inventory,Stockout,High,5022.07
41,8743,2024-10-30,2024-11-01,Completed,5880.61,On-Time,2,2,Inventory,Stockout,High,5880.61
52,15570,2024-10-24,2024-10-26,Delayed,1200.96,Delayed,2,2,Inventory,Stockout,High,1200.96
54,18266,2024-08-24,2024-08-28,Completed,4634.86,On-Time,2,2,Inventory,Stockout,High,4634.86
61,5409,2025-04-06,2025-04-11,Completed,12036.95,On-Time,2,2,Inventory,Stockout,High,12036.95
74,16010,2024-07-06,2024-07-11,Completed,1247.64,On-Time,2,2,Inventory,Stockout,High,1247.64
78,17192,2025-06-19,2025-06-21,Delayed,4653.99,Delayed,2,2,Inventory,Stockout,High,4653.99
80,16086,2024-07-08,2024-07-13,Completed,3842.8,On-Time,2,2,Inventory,Stockout,High,3842.8
86,19459,2025-04-09,2025-04-10,Completed,750.32,On-Time,2,2,Inventory,Stockout,High,750.32
89,15359,2024-08-06,2024-08-07,Completed,3220.6,On-Time,2,2,Inventory,Stockout,High,3220.6
92,2990,2025-04-22,2025-04-23,Completed,10389.53,On-Time,2,2,Inventory,Stockout,High,10389.53
100,11138,2025-05-03,2025-05-08,Delayed,2792.52,Delayed,2,2,Inventory,Stockout,High,2792.52
106,11094,2024-09-12,2024-09-16,Completed,2730.45,On-Time,2,2,Inventory,Stockout,High,2730.45
111,7892,2025-06-15,2025-06-17,Completed,6866.84,On-Time,2,2,Inventory,Stockout,High,6866.84
112,308,2025-03-12,2025-03-17,Completed,2142.27,On-Time,2,2,Inventory,Stockout,High,2142.27
118,10706,2025-04-23,2025-04-26,Completed,2156.7,On-Time,2,2,Inventory,Stockout,High,2156.7
119,17395,2025-01-29,2025-01-31,Delayed,5175.4,Delayed,2,2,Inventory,Stockout,High,5175.4
120,3774,2025-03-14,2025-03-17,Delayed,5891.07,Delayed,2,2,Inventory,Stockout,High,5891.07
121,11986,2025-02-25,2025-02-26,Completed,5698.53,On-Time,2,2,Inventory,Stockout,High,5698.53
