order_id,customer_id,order_date,due_date,order_status,order_total,delivery_status,delay_reason_id
4,12450,2024-12-22,2024-12-25,Cancelled,2738.6,Lost,2
5,9607,2024-08-19,2024-08-22,Delayed,9504.11,Delayed,3
6,12456,2025-05-18,2025-05-23,Delayed,6457.59,Delayed,3
7,2340,2024-11-20,2024-11-24,Cancelled,2839.59,Lost,3
20,7502,2025-04-10,2025-04-12,Delayed,1272.23,Delayed,5
31,13738,2025-05-01,2025-05-02,Delayed,4876.33,Delayed,2
33,4341,2024-12-09,2024-12-10,Delayed,7377.91,Delayed,1
47,16618,2025-06-17,2025-06-19,Cancelled,4880.79,Lost,3
52,15570,2024-10-24,2024-10-26,Delayed,1200.96,Delayed,2
59,12763,2024-08-02,2024-08-06,Delayed,3327.76,Delayed,4
60,17637,2025-04-26,2025-04-27,Delayed,8248.98,Delayed,5
70,17635,2024-08-24,2024-08-28,Delayed,7730.36,Delayed,3
72,5959,2025-05-09,2025-05-13,Delayed,1870.08,Delayed,3
78,17192,2025-06-19,2025-06-21,Delayed,4653.99,Delayed,2
84,6809,2024-11-30,2024-12-05,Cancelled,5349.78,Lost,4
98,16331,2025-06-29,2025-07-01,Delayed,5606.75,Delayed,3
100,11138,2025-05-03,2025-05-08,Delayed,2792.52,Delayed,2
108,14221,2024-07-19,2024-07-24,Delayed,1769.3,Delayed,1
117,1094,2025-06-13,2025-06-15,Cancelled,2392.0,Lost,1
119,17395,2025-01-29,2025-01-31,Delayed,5175.4,Delayed,2
120,3774,2025-03-14,2025-03-17,Delayed,5891.07,Delayed,2
123,10749,2025-01-12,2025-01-15,Delayed,3688.48,Delayed,1
125,14865,2025-03-10,2025-03-11,Delayed,4188.54,Delayed,1
136,4861,2024-08-01,2024-08-05,Delayed,6518.72,Delayed,4
140,18406,2024-08-17,2024-08-21,Delayed,3224.75,Delayed,1
147,9282,2025-02-12,2025-02-16,Cancelled,9025.23,Lost,4
149,12459,2024-09-09,2024-09-12,Delayed,4337.36,Delayed,3
153,2503,2025-02-09,2025-02-14,Delayed,10380.7,Delayed,4
159,14345,2024-08-01,2024-08-05,Cancelled,2547.85,Lost,1
164,4508,2025-01-02,2025-01-03,Cancelled,4429.42,Lost,3
166,5926,2024-07-20,2024-07-23,Cancelled,3638.48,Lost,5
167,14711,2025-06-20,2025-06-25,Delayed,5852.93,Delayed,2
168,14438,2024-10-28,2024-11-02,Delayed,5118.83,Delayed,2
170,8939,2025-05-25,2025-05-29,Delayed,4654.93,Delayed,3
171,13596,2025-02-16,2025-02-21,Delayed,5634.05,Delayed,2
175,13757,2024-11-25,2024-11-27,Delayed,1342.78,Delayed,3
183,15513,2024-07-23,2024-07-25,Delayed,8160.43,Delayed,1
185,13911,2025-02-09,2025-02-13,Delayed,9657.47,Delayed,4
188,14359,2024-11-18,2024-11-19,Delayed,8456.69,Delayed,1
193,18023,2024-09-01,2024-09-03,Delayed,6602.91,Delayed,1
207,7889,2024-09-20,2024-09-24,Cancelled,5534.71,Lost,5
211,11112,2025-05-16,2025-05-21,Delayed,2710.56,Delayed,1
214,16624,2024-09-10,2024-09-13,Cancelled,5567.67,Lost,5
217,3602,2025-03-26,2025-03-31,Cancelled,3638.44,Lost,4
228,19752,2024-10-04,2024-10-07,Delayed,4711.15,Delayed,1
235,4377,2024-12-05,2024-12-07,Delayed,10421.82,Delayed,4
249,13378,2025-04-29,2025-05-01,Delayed,10053.82,Delayed,4
257,15385,2025-05-29,2025-06-01,Delayed,6424.08,Delayed,3
258,532,2024-12-11,2024-12-13,Delayed,3511.32,Delayed,3
273,19517,2024-08-20,2024-08-24,Delayed,3094.95,Delayed,2
276,14574,2025-01-11,2025-01-13,Delayed,3208.53,Delayed,4
281,13799,2024-12-02,2024-12-05,Delayed,3794.36,Delayed,4
291,18285,2025-04-15,2025-04-19,Delayed,4699.54,Delayed,3
292,805,2025-04-24,2025-04-29,Cancelled,8867.93,Lost,2
306,3743,2024-07-17,2024-07-20,Delayed,6577.14,Delayed,2
309,18681,2025-04-28,2025-05-01,Delayed,6461.04,Delayed,5
330,2740,2025-03-17,2025-03-20,Delayed,8242.85,Delayed,5
334,10978,2024-09-22,2024-09-26,Delayed,6437.93,Delayed,3
343,784,2025-04-06,2025-04-08,Delayed,1047.8,Delayed,2
347,2453,2025-03-24,2025-03-28,Delayed,5096.06,Delayed,3
349,3571,2024-12-10,2024-12-14,Delayed,2443.28,Delayed,3
350,14809,2024-09-18,2024-09-19,Cancelled,6508.78,Lost,2
352,8134,2025-06-26,2025-07-01,Delayed,2574.3,Delayed,1
355,19082,2024-07-07,2024-07-08,Delayed,1650.27,Delayed,2
358,9011,2024-09-25,2024-09-30,Cancelled,5482.92,Lost,4
379,12875,2025-01-26,2025-01-31,Delayed,3165.12,Delayed,5
394,7470,2025-01-07,2025-01-08,Delayed,4189.88,Delayed,3
409,13779,2024-10-02,2024-10-05,Cancelled,2916.67,Lost,1
415,462,2025-05-11,2025-05-15,Delayed,4987.21,Delayed,4
420,12295,2024-07-12,2024-07-17,Delayed,2862.78,Delayed,5
423,3858,2024-11-16,2024-11-21,Delayed,4234.81,Delayed,5
424,11729,2024-11-22,2024-11-23,Delayed,6634.68,Delayed,1
427,2460,2025-04-20,2025-04-24,Delayed,4963.6,Delayed,2
429,317,2025-01-01,2025-01-04,Delayed,801.38,Delayed,4
437,10507,2025-02-26,2025-03-02,Delayed,1756.48,Delayed,2
