order_id,customer_id,order_date,due_date,order_status,order_total,delivery_status,delay_reason_id,root_cause_id,category,description,severity_level
8,18251,2025-05-08,2025-05-10,Completed,3888.62,On-Time,5,5,Vendor,Vendor Delay,High
11,2979,2025-04-02,2025-04-05,Completed,7891.79,On-Time,5,5,Vendor,Vendor Delay,High
18,14356,2024-09-23,2024-09-26,Completed,7027.73,On-Time,5,5,Vendor,Vendor Delay,High
20,7502,2025-04-10,2025-04-12,Delayed,1272.23,Delayed,5,5,Vendor,Vendor Delay,High
32,14983,2025-06-02,2025-06-07,Completed,10873.01,On-Time,5,5,Vendor,Vendor Delay,High
36,11236,2024-08-29,2024-08-30,Completed,3045.23,On-Time,5,5,Vendor,Vendor Delay,High
37,10930,2024-10-13,2024-10-16,Completed,6624.44,On-Time,5,5,Vendor,Vendor Delay,High
39,6884,2024-07-19,2024-07-22,Completed,5142.49,On-Time,5,5,Vendor,Vendor Delay,High
45,14300,2024-11-11,2024-11-13,Completed,2923.87,On-Time,5,5,Vendor,Vendor Delay,High
57,11006,2025-05-23,2025-05-26,Completed,8106.88,On-Time,5,5,Vendor,Vendor Delay,High
60,17637,2025-04-26,2025-04-27,Delayed,8248.98,Delayed,5,5,Vendor,Vendor Delay,High
62,5955,2025-02-25,2025-02-27,Completed,12289.02,On-Time,5,5,Vendor,Vendor Delay,High
66,10193,2024-09-24,2024-09-29,Completed,540.46,On-Time,5,5,Vendor,Vendor Delay,High
68,1346,2024-08-22,2024-08-25,Completed,4214.95,On-Time,5,5,Vendor,Vendor Delay,High
81,8274,2024-08-22,2024-08-23,Completed,5819.32,On-Time,5,5,Vendor,Vendor Delay,High
91,8832,2025-02-07,2025-02-10,Completed,4163.04,On-Time,5,5,Vendor,Vendor Delay,High
94,10307,2024-11-25,2024-11-29,Completed,242.09,On-Time,5,5,Vendor,Vendor Delay,High
103,12652,2024-10-05,2024-10-07,Completed,6294.31,On-Time,5,5,Vendor,Vendor Delay,High
113,19254,2025-02-24,2025-02-27,Completed,4718.27,On-Time,5,5,Vendor,Vendor Delay,High
115,18545,2025-04-19,2025-04-22,Completed,4576.53,On-Time,5,5,Vendor,Vendor Delay,High
116,8213,2025-06-17,2025-06-18,Completed,3876.54,On-Time,5,5,Vendor,Vendor Delay,High
129,7982,2025-06-05,2025-06-07,Completed,2163.63,On-Time,5,5,Vendor,Vendor Delay,High
134,15606,2024-09-03,2024-09-07,Completed,734.66,On-Time,5,5,Vendor,Vendor Delay,High
135,1021,2025-02-15,2025-02-18,Completed,14605.04,On-Time,5,5,Vendor,Vendor Delay,High
150,10259,2025-03-30,2025-04-01,Completed,7095.82,On-Time,5,5,Vendor,Vendor Delay,High
151,5632,2025-04-21,2025-04-25,Completed,2671.56,On-Time,5,5,Vendor,Vendor Delay,High
154,19740,2025-03-19,2025-03-20,Completed,5271.54,On-Time,5,5,Vendor,Vendor Delay,High
160,1716,2025-02-10,2025-02-15,Completed,10045.21,On-Time,5,5,Vendor,Vendor Delay,High
166,5926,2024-07-20,2024-07-23,Cancelled,3638.48,Lost,5,5,Vendor,Vendor Delay,High
172,10443,2024-07-28,2024-08-01,Completed,2699.29,On-Time,5,5,Vendor,Vendor Delay,High
